,Player,Year,current_stats,curr_gp,curr_record,prev_stats,prev_gp,prev_record,playoff_stats
61,Klay Thompson,2018,27.56,73,0.7073170731707317,29.26,78,0.8170731707317073,22.2
62,Damian Lillard,2018,40.22,73,0.5975609756097561,39.96,75,0.5,37.16
63,Draymond Green,2018,28.88,70,0.7073170731707317,28.08,76,0.8170731707317073,31.82
64,Karl-Anthony Towns,2018,38.94,82,0.573170731707317,43.1,82,0.3780487804878049,0.0
65,Al Horford,2018,27.42,72.0,0.6707317073170732,28.16,68.0,0.6463414634146342,29.5
66,LeBron James,2019,47.56,55.0,0.45121951219512196,48.739999999999995,82.0,0.6097560975609756,55.72
67,James Harden,2019,53.019999999999996,78.0,0.6463414634146342,47.44,72.0,0.7926829268292683,43.0
68,Kevin Durant,2019,40.76,78,0.6951219512195121,41.04,68,0.7073170731707317,44.0
69,Kyrie Irving,2019,38.08,67.0,0.5975609756097561,35.08,60.0,0.6707317073170732,0.0
70,Kawhi Leonard,2019,39.32,60,0.7073170731707317,24.6,9,0.573170731707317,0.0
71,Damian Lillard,2019,39.6,80,0.6463414634146342,40.22,73,0.5975609756097561,29.66
72,Klay Thompson,2019,28.939999999999998,78,0.6951219512195121,27.56,73,0.7073170731707317,26.68
73,Bradley Beal,2019,38.2,82,0.3902439024390244,33.28,82,0.524390243902439,30.52
74,Ben Simmons,2019,36.7,79,0.6219512195121951,35.36,81,0.6341463414634146,36.82
75,Karl-Anthony Towns,2019,43.36,77,0.43902439024390244,38.94,82,0.573170731707317,33.92
76,LaMarcus Aldridge,2019,35.22,81.0,0.5853658536585366,35.7,75.0,0.573170731707317,37.52
77,Dwyane Wade,2019,24.839999999999996,72.0,0.47560975609756095,20.04,67.0,0.5365853658536586,25.96
78,Anthony Davis,2019,44.98,56.0,0.4024390243902439,44.18,75.0,0.5853658536585366,48.22
79,Stephen Curry,2019,39.9,69,0.6951219512195121,39.839999999999996,51,0.7073170731707317,39.3
80,Giannis Antetokounmpo,2019,49.78,72,0.7317073170731707,44.66,75,0.5365853658536586,44.78
81,Paul George,2019,42.76,77.0,0.5975609756097561,32.699999999999996,79.0,0.5853658536585366,35.14
82,Joel Embiid,2019,48.260000000000005,64,0.6219512195121951,39.94,63,0.6341463414634146,40.12
83,Kemba Walker,2019,37.96,82.0,0.47560975609756095,32.54,80.0,0.43902439024390244,0.0
84,Khris Middleton,2019,30.660000000000004,77.0,0.7317073170731707,31.14,82.0,0.5365853658536586,34.54
85,Blake Griffin,2019,39.980000000000004,75,0.5,37.239999999999995,58,0.47560975609756095,0.0
86,Russell Westbrook,2019,49.059999999999995,73.0,0.5975609756097561,49.879999999999995,80.0,0.5853658536585366,52.7
87,Nikola Jokić,2019,41.82000000000001,80,0.6585365853658537,38.66,75,0.5609756097560976,0.0
